"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test verifica que el sistema muestra un mensaje de error cuando se intenta iniciar sesión sin ingresar credenciales.","0","Inicio de sesión sin credenciales","tests","Tue Sep 24 16:36:34 GMT-03:00 2024","skipped","Tue Sep 24 16:36:34 GMT-03:00 2024","","test_login","",""
"Este test verifica que se puedan agregar múltiples productos al carrito de compras.","0","Agregar múltiples productos al carrito de compras","tests","Tue Sep 24 16:36:21 GMT-03:00 2024","skipped","Tue Sep 24 16:36:21 GMT-03:00 2024","","test_cart","",""
"Este test verifica que al agregar el producto Sauce Labs Bolt T-Shirt al carrito se obtiene un error.","3317","Agregar Sauce Labs Bolt T-Shirt al carrito","tests","Tue Sep 24 16:36:22 GMT-03:00 2024","failed","Tue Sep 24 16:36:25 GMT-03:00 2024","","test_cart","",""
"Este test verifica que un intento de inicio de sesión con credenciales incorrectas muestra el mensaje de error adecuado.","2759","Inicio de sesión inválido","tests","Tue Sep 24 16:36:29 GMT-03:00 2024","passed","Tue Sep 24 16:36:32 GMT-03:00 2024","","test_login","",""
"Este test verifica que al agregar el producto Sauce Labs Bolt T-Shirt al carrito se obtiene un error.","0","Agregar Sauce Labs Bolt T-Shirt al carrito","tests","Tue Sep 24 16:36:25 GMT-03:00 2024","skipped","Tue Sep 24 16:36:25 GMT-03:00 2024","","test_cart","",""
"Este test verifica que un intento de inicio de sesión con credenciales incorrectas muestra el mensaje de error adecuado.","0","Inicio de sesión inválido","tests","Tue Sep 24 16:36:32 GMT-03:00 2024","skipped","Tue Sep 24 16:36:32 GMT-03:00 2024","","test_login","",""
"Este test verifica que se pueda eliminar un producto del carrito de compras.","0","Eliminar producto del carrito","tests","Tue Sep 24 16:36:17 GMT-03:00 2024","skipped","Tue Sep 24 16:36:17 GMT-03:00 2024","","test_cart","",""
"Este test verifica que se pueda agregar un producto al carrito y valida que el producto agregado sea el correcto.","0","Agregar producto al carrito","tests","Tue Sep 24 16:36:13 GMT-03:00 2024","skipped","Tue Sep 24 16:36:13 GMT-03:00 2024","","test_cart","",""
"Este test verifica que un usuario válido puede iniciar sesión correctamente.","2730","Inicio de sesión válido","tests","Tue Sep 24 16:36:26 GMT-03:00 2024","passed","Tue Sep 24 16:36:28 GMT-03:00 2024","","test_login","",""
"Este test verifica que se pueda eliminar un producto del carrito de compras.","3714","Eliminar producto del carrito","tests","Tue Sep 24 16:36:13 GMT-03:00 2024","passed","Tue Sep 24 16:36:17 GMT-03:00 2024","","test_cart","",""
"Este test verifica que un usuario válido puede iniciar sesión correctamente.","0","Inicio de sesión válido","tests","Tue Sep 24 16:36:29 GMT-03:00 2024","skipped","Tue Sep 24 16:36:29 GMT-03:00 2024","","test_login","",""
"Este test verifica que el sistema muestra un mensaje de error cuando se intenta iniciar sesión sin ingresar credenciales.","1622","Inicio de sesión sin credenciales","tests","Tue Sep 24 16:36:33 GMT-03:00 2024","passed","Tue Sep 24 16:36:34 GMT-03:00 2024","","test_login","",""
"Este test verifica que se pueda agregar un producto al carrito y valida que el producto agregado sea el correcto.","6555","Agregar producto al carrito","tests","Tue Sep 24 16:36:06 GMT-03:00 2024","passed","Tue Sep 24 16:36:13 GMT-03:00 2024","","test_cart","",""
"Este test verifica que se puedan agregar múltiples productos al carrito de compras.","3788","Agregar múltiples productos al carrito de compras","tests","Tue Sep 24 16:36:17 GMT-03:00 2024","passed","Tue Sep 24 16:36:21 GMT-03:00 2024","","test_cart","",""
"Este test verifica la correcta conexión y respuesta de un  Servicio Web","181","Validación de respuesta a Servicio Web","tests","Tue Sep 24 16:36:34 GMT-03:00 2024","passed","Tue Sep 24 16:36:34 GMT-03:00 2024","","test_ws","",""
